"uid","name","score","experience","combat","defense","stability","position","annualReturn","goodAt","hoppingRate","workDay"
"30161476","王本昌","5.23","8.52","2.89","5.23","4.93","7.19","16.46","股票型","3.5","2557"
"30178998","何晓春","5.91","8.57","4.75","7.41","6.38","1.61","26.69","股票型","3.46","2536"
"30066836","王增财","6.07","8.24","9.52","4.22","5.08","2.67","14.79","混合型","3.46","2529"
"30050317","吴华","3.61","8.23","5.77","0.48","1.3","5.51","21.16","混合型","6.92","2524"
"30063842","朱红","6.53","8.22","9","3.61","5.79","7.22","18.79","混合型","6.9","2517"
"30074174","安昀","NaN","8.62","3.81","2.82","3.95","NaN","32.39","混合型","6.84","2495"
"30067487","林洪钧","3.31","8.1","2.56","0.96","3.95","3.4","6.46","债券型","3.39","2476"
"30184146","张李陵","5.34","8.04","9.53","5.29","1.1","2.87","4.16","债券型","2.56","2473"
"30040362","史伟","NaN","NaN","2.2","4.67","0.19","NaN","22.95","混合型","2.23","2446"
"30062897","李一硕","6.64","7.99","5.63","7.5","5.57","7.71","5.17","债券型","6.62","2415"
"30161477","李永兴","4.57","7.95","0.82","6.95","2.65","7.78","37.36","混合型","3.21","2345"
"30163900","黄韵","NaN","9.3","NaN","7.4","NaN","NaN","13.72","债券型","6.35","2318"
"30132445","何天翔","3.47","7.9","3.3","2.38","3.36","1.81","13.7","混合型","6.33","2310"
"30040521","赵枫","NaN","7.84","NaN","6.36","NaN","NaN","89.49","混合型","2.08","2273"
"30067538","刘兴旺","6.05","7.64","4.93","4.3","8.59","5.13","11.55","债券型","2.07","2264"
"30044828","黄峰","3.77","8.02","0.57","7.29","0.48","5.43","13.83","混合型","6.18","2257"
"30040293","梁钧","NaN","7.63","NaN","2.75","NaN","NaN","6.45","债券型","2.05","2255"
"30062778","唐晓斌","3.72","7.81","5.27","0.7","1.16","7.66","20.84","混合型","6.16","2250"
"30158961","蔡滨","6.33","7.8","9.65","4.81","4.75","4.4","27.46","混合型","6.16","2248"
"30136155","王喆","4.52","7.77","6.11","3.29","2.1","5.36","4.99","混合型","6.1","2228"
"30072773","颜伟鹏","2.39","7.62","5.01","0.01","0.3","0.82","19.84","混合型","5.98","2181"
"30192023","蔡玮菁","5.44","7.5","5.16","5.88","6.15","1.61","5.58","债券型","5.98","2181"
"30053610","胡志伟","NaN","7.58","NaN","6.63","NaN","NaN","4.43","混合型","5.95","2170"
"30130474","张腾","2.78","7.54","2.63","2.95","0.74","2.05","-3.12","混合型","5.93","2166"
"30062853","邵卓","5.56","7.47","6.8","2.28","6.46","5.95","29.32","股票型","5.92","2160"
"30054556","王创练","7.43","7.44","7.57","7.88","10","1.12","28.95","股票型","5.9","2154"
"30047623","朱文辉","NaN","NaN","0.28","0.89","0","6.51","2.28","债券型","1.47","2153"
"30072305","范贵龙","5.9","7.45","3.8","7.16","7.54","2.73","3.4","混合型","5.86","2138"
"30130650","许忠海","2.66","7.43","2.33","1.72","1.66","2.44","10.61","混合型","5.85","2136"
"30193851","冯小波","4.24","7.42","1.93","5.05","2.24","8.08","4.4","债券型","2.92","2131"
"30132431","沈楠","7.36","7.38","9.27","4.68","8.96","5.68","17.52","混合型","5.8","2118"
"30049502","陆从珍","5.65","8.23","4.09","5.58","5.4","6.84","28.18","混合型","2.9","2118"
"30050295","左剑","3.3","7.33","4.88","1.34","0.91","4.78","6.97","混合型","5.78","2110"
"30056585","王一兵","5.69","6.29","5.14","7.42","4.98","4.14","2.91","混合型","5.78","2108"
"30176257","吴亮谷","7.52","7.29","4.05","9.81","9.31","6.52","2.11","混合型","1.92","2106"
"30065817","洪流","3.69","7.33","6.76","1.95","1.3","2.13","19.19","债券型","2.88","2103"
"30075049","盖俊龙","3.86","7.26","2.69","5.98","2.45","1.41","6.45","混合型","2.88","2102"
"30132152","王申","4.16","7.04","1.56","4.22","3.21","8.29","5.56","债券型","5.5","2101"
"30132007","瞿灿","4.42","7.32","4.38","4.02","2.4","6.43","3.94","债券型","5.75","2098"
"30130611","丁进","4.98","7.29","6.88","3.97","3.07","4.67","3.98","债券型","5.74","2094"
"30136918","田俊维","NaN","6.96","NaN","5.75","6.32","NaN","18.08","股票型","5.72","2087"
"30072302","张圣贤","7.15","6.62","2.28","9.15","6.41","10","10.79","指数型","6.89","2087"
"30139986","邬传雁","6.97","7.15","9.09","6.5","4.21","8.97","17.56","混合型","5.71","2083"
"30136811","杨欢","NaN","7.2","NaN","3.87","NaN","NaN","21.28","债券型","5.68","2073"
"30072275","申俊华","6.78","6.92","9.76","6.13","7.94","3.21","2.66","货币型","2.83","2063"
"30194665","刘丽娟","6.8","6.8","7.39","6.21","9.85","3.73","1.96","货币型","5.59","2040"
"30131854","连端清","6.17","8.1","1.96","6.68","5.78","9.28","3.41","货币型","6.96","2027"
"30079473","王乐乐","NaN","6.38","NaN","8.41","4.29","NaN","21.81","指数型","5.69","2021"
"30130895","焦巍","NaN","6.85","8.77","8.16","0.81","NaN","32.4","混合型","1.84","2010"
"30072994","胡德军","3.61","6.63","0.24","0.64","7.83","4.82","10.7","混合型","5.32","1943"
"30072426","范妍","8.44","6.39","9.42","7.46","9.44","8.51","25.62","股票型","5.32","1942"
"30132447","陈伟彦","6.28","6.54","8.15","3.98","8","3.47","7.99","混合型","5.26","1920"
"30137559","林英睿","6.53","6.5","8.02","6.01","8.32","1.04","20.57","混合型","2.62","1912"
"30164254","刘方旭","5.11","7.6","6.98","4.98","2.01","5.35","29.99","混合型","5.19","1894"
"30081613","李守峰","4","6.39","5.19","3.5","1.51","5.18","23.52","混合型","5.16","1884"
"30138925","黄春逢","4.26","6.37","10","0.98","1.19","3.38","27.87","混合型","5.15","1879"
"30171108","何奇","3.76","6.36","4.64","0.35","3.47","6.78","5.27","混合型","2.57","1876"
"30166192","许文波","5.51","6.4","7.06","4.49","3.18","8.24","15.06","债券型","2.32","1875"
"30072002","张俊生","NaN","6.32","NaN","4.67","NaN","NaN","41.21","混合型","2.57","1874"
"30142052","刘荟","NaN","5.83","NaN","7.78","7.64","10","13.49","股票型","5.13","1874"
"30132405","楼华锋","NaN","6.3","NaN","4.7","8.74","1.99","11.91","混合型","5.13","1872"
"30055544","章海默","5.28","7.27","0.51","0.78","9.2","9.24","14.85","指数型","2.56","1870"
"30190658","李丹","5.96","6.21","7","1.58","8.28","7.72","11.2","混合型","5.05","1844"
"30180167","洪慧梅","2.92","8.19","0.16","1.5","1.1","9.66","3.75","债券型","2.52","1841"
"30073898","王靖","2.31","6.17","0","6.01","0.29","0.99","3.6","货币型","1.59","1744"
"30162669","李化松","NaN","5.82","NaN","7.17","NaN","NaN","58.24","混合型","2.38","1737"
"30195116","姚飞军","6.56","5.26","4.1","7.97","8.36","6.39","10.58","混合型","4.2","1723"
"30467903","梁杏","NaN","5.14","NaN","2.48","0.17","1.96","15.37","混合型","4.13","1718"
"30081438","李晨辉","3.51","5.71","0.84","4.65","1.28","8.85","18.99","混合型","4.69","1713"
"30176853","戴鹤忠","4.58","5.7","0.13","5.31","5.24","9.61","9.82","混合型","4.68","1710"
"30042839","杜晓海","NaN","6.43","NaN","7.57","NaN","NaN","13.3","债券型","4.67","1704"
"30073012","蒋鑫","5.39","5.68","8.72","2.61","4.12","6.51","20.39","混合型","4.66","1702"
"30081599","季文华","NaN","5.63","NaN","2.71","6.42","4.35","18.6","混合型","2.31","1684"
"30080853","神爱前","1.45","4.79","0","1.29","1.72","0.81","16.36","混合型","3.66","1677"
"30193079","杨贵宾","NaN","6.34","NaN","2.6","NaN","NaN","5.03","债券型","2.29","1669"
"30141667","孔令超","4.63","6.27","3.14","5.07","6.01","2.36","8.26","债券型","4.55","1660"
"30483498","陈会荣","NaN","4.86","NaN","3.15","4.8","2.29","11.7","混合型","3.92","1659"
"30167007","陈振宇","5.74","5.49","6.86","6.74","5.25","2.71","40.07","混合型","4.5","1641"
"30181965","何晶","NaN","6.13","NaN","1.85","NaN","NaN","8.15","债券型","1.44","1640"
"30181751","刘晨","NaN","5.58","NaN","3.62","NaN","NaN","20.95","混合型","1.47","1605"
"30072068","晏青","NaN","5.39","NaN","5.65","NaN","NaN","51.74","混合型","2.19","1601"
"30066552","冯明远","NaN","4.65","NaN","6.53","3.75","8.06","32.59","股票型","4.34","1585"
"30137673","李游","NaN","4.63","NaN","0.73","2.57","6.98","40.59","股票型","4.3","1571"
"30138293","缪玮彬","NaN","5.25","NaN","8.52","5.17","3.59","6.58","混合型","4.18","1527"
"30064183","卞亚军","NaN","NaN","7.44","1.37","1.37","2.78","9.17","混合型","1.39","1520"
"30131012","王奇玮","NaN","5.15","NaN","3.38","1.01","3.69","38.22","混合型","4.14","1512"
"30130480","林柏川","NaN","5.14","NaN","8.42","2.08","9.74","31.22","混合型","4.13","1507"
"30192111","段玮婧","NaN","5.22","NaN","6.25","7.33","0.84","3.77","货币型","4.13","1507"
"30040520","章劲","NaN","5.14","NaN","2.92","NaN","NaN","3.92","货币型","2.05","1497"
"30167602","李健伟","NaN","5.06","NaN","1.9","2.88","3.19","17.76","混合型","4.07","1487"
"30189437","周锦程","NaN","5.28","NaN","1.25","6.42","9.5","4.2","债券型","3.76","1464"
"30130983","武磊","NaN","5.58","NaN","6.72","2.8","4.3","4.69","债券型","3.98","1451"
"30132625","蒲延杰","NaN","3.62","NaN","3.98","1.9","NaN","6.28","债券型","1.95","1440"
"30132970","庄宇飞","NaN","4.47","NaN","9.32","2.59","6.04","1.81","QDII","3.94","1437"
"30070381","杨霞辉","NaN","4.81","NaN","5.76","3.05","2.47","6.94","混合型","3.88","1417"
"30167070","姜诚","5.74","4.8","6.08","7.72","1.76","9.98","32.68","混合型","1.94","1416"
"30063211","张西林","NaN","4.77","NaN","1.37","2.27","3.77","24.98","混合型","3.86","1409"
"30172457","余芽芳","NaN","3.62","NaN","9.33","9.94","1.48","10.05","混合型","2.96","1409"
"30081482","林开盛","NaN","4.59","NaN","6.66","2.59","9.67","17.67","混合型","3.69","1383"
"30132991","蓝小康","NaN","4.71","NaN","5.16","3.42","8.44","14.79","混合型","3.78","1381"
"30141442","周紫光","NaN","4.66","NaN","0.6","2.68","0.81","20.6","混合型","3.74","1365"
"30044283","杨爱斌","NaN","5.24","NaN","8.53","2.16","3.45","6.22","债券型","3.72","1359"
"30139111","肖芳芳","NaN","5.21","NaN","8.97","1.82","NaN","3.51","债券型","3.71","1355"
"30040384","童国林","NaN","5.19","NaN","2.75","NaN","NaN","18.6","债券型","1.84","1344"
"30080910","高勇标","NaN","5.18","NaN","3.6","1.93","NaN","3.05","债券型","3.67","1334"
"30072617","何翔","NaN","4.46","NaN","8.57","NaN","NaN","10.68","混合型","3.58","1306"
"30130644","梁皓","NaN","4.45","NaN","2.86","3.01","NaN","46.73","混合型","3.58","1305"
"30131758","吴昊","NaN","4.45","NaN","4.71","0.32","NaN","36.07","混合型","3.58","1305"
"30195071","聂毅翔","NaN","4.4","NaN","6.83","NaN","NaN","24.8","混合型","3.55","1297"
"30130519","邓岳","NaN","4.19","NaN","3.37","3.52","NaN","26.53","指数型","3.54","1293"
"30070857","李杨","NaN","6.73","NaN","7.07","2.58","5.12","21.86","混合型","2.71","1293"
"30132238","严志勇","NaN","4.98","NaN","8.24","5.24","NaN","5.83","债券型","3.54","1291"
"30063371","苏静然","NaN","4.36","NaN","0.37","1.85","NaN","16.37","混合型","3.53","1289"
"30136600","张晓泉","3.35","4.24","2.07","2.81","6.06","0.65","37.4","混合型","1.71","1251"
"30137001","闫思倩","NaN","3.71","NaN","2.38","0.69","NaN","45.43","股票型","3.35","1222"
"30131622","钱文礼","NaN","4.14","NaN","4.35","4.63","NaN","32.1","混合型","3.32","1212"
"30176526","刘钊","NaN","NaN","9.15","1.91","2.65","1.4","41.17","指数型","1.63","1192"
"30131280","毛甜","NaN","3.55","NaN","6.11","NaN","NaN","11.95","股票型","3.19","1166"
"30062965","蔡宇滨","NaN","3.4","NaN","9.43","NaN","NaN","22.05","股票型","3.18","1159"
"30565420","曾豪","NaN","2.93","NaN","7.32","NaN","NaN","41.86","混合型","2.43","1151"
"30072249","王海青","NaN","3.77","NaN","4.84","NaN","NaN","37.87","混合型","3.05","1113"
"30137724","观富钦","NaN","2.46","NaN","0.93","NaN","NaN","27.58","股票型","3.02","1103"
"30166092","盛骅","NaN","3.72","NaN","6.29","NaN","NaN","42.43","混合型","3.02","1102"
